Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Event_Window,Event_Earnings_Date,Daily_Return,Relative_Volume,Rolling_Volatility_10D,Moving_Average_10D,Volume_Change_Pct,Price_Change_Pct,Distance_From_Earnings_Event,IF_Anomaly,IF_Anomaly_Score,OCSVM_Anomaly,OCSVM_Anomaly_Score,LOF_Anomaly,LOF_Anomaly_Score,Model_Agreement_Count
2021-01-19,127.77999877929688,128.7100067138672,126.94000244140624,127.83000183105467,124.20565032958984,90757300,AAPL,1,2021-01-27,0.0054271221597175,0.8299070606288187,0.0204575842098585,125.64658966064454,-18.675161404499164,0.5427122159717523,6,0,-0.13032937693532237,0,-0.6880859894521842,0,1.041013695790341,0
2021-01-20,128.66000366210938,132.49000549316406,128.5500030517578,132.02999877929688,128.28656005859375,104319500,AAPL,1,2021-01-27,0.0328560715086221,1.0020707191361555,0.022837254978524,125.74569778442384,14.943370946469315,3.285607150862213,5,0,-0.05521920568548877,0,-0.033446201226706496,0,1.175073622164765,0
2021-01-21,133.8000030517578,139.6699981689453,133.58999633789062,136.8699951171875,132.98931884765625,120150900,AAPL,1,2021-01-27,0.0366582344005057,1.1468130147555502,0.0217767523519226,126.74357833862304,15.17587795186901,3.665823440050575,4,0,-0.04508178471032942,0,-0.019237745166515552,0,1.2046302078334794,0
2021-01-22,136.27999877929688,139.85000610351562,135.02000427246094,139.07000732421875,135.12698364257812,114459400,AAPL,1,2021-01-27,0.016073958521215,1.130176563613298,0.0200547905054556,127.53547439575196,-4.736959939542695,1.607395852121507,3,0,-0.11168705981994592,0,-0.46487698612892636,0,1.0948585796266352,0
2021-01-25,143.07000732421875,145.08999633789062,136.5399932861328,142.9199981689453,138.8677978515625,157611700,AAPL,1,2021-01-27,0.0276836950558974,1.548799278328836,0.0211809014918489,128.59165725708007,37.70096645622816,2.7683695055897406,2,0,-0.03376864056998008,0,-0.26752460417443436,0,1.1796213096187738,0
2021-01-26,143.60000610351562,144.3000030517578,141.3699951171875,143.16000366210938,139.10098266601562,98390600,AAPL,1,2021-01-27,0.0016791856575877,0.9194596910638017,0.0183542513995664,129.96945343017578,-37.57405065740678,0.1679185657587734,1,0,-0.09476751188797261,0,-0.3201259547923181,0,1.1348279413855689,0
2021-01-27,143.42999267578125,144.3000030517578,140.41000366210938,142.05999755859375,138.0322265625,140843800,AAPL,0,,-0.0076833109517402,1.3186416672034469,0.0189114522880008,131.25786056518555,43.14761776023319,-0.7683310951740241,0,0,-0.06816762328472031,0,-0.4778451288533847,0,1.2620380897251695,0
2021-01-28,139.52000427246094,141.99000549316406,136.6999969482422,137.08999633789062,133.2030792236328,142621100,AAPL,0,,-0.0349856512434114,1.2768338274737032,0.0234333897531442,131.86028213500975,1.2618943822873208,-3.4985651243411464,1,0,-0.020718369438566753,0,-0.1903794947808457,0,1.2552602429219974,0
2021-01-29,135.8300018310547,136.74000549316406,130.2100067138672,131.9600067138672,128.21853637695312,177523800,AAPL,0,,-0.0374206277792663,1.5160345920398273,0.0264190640579433,132.15663452148436,24.47232562362791,-3.742062777926636,2,1,0.00352524811111965,0,-0.26325388869073807,0,1.2157567935569593,1
2021-02-01,133.75,135.3800048828125,130.92999267578125,134.13999938964844,130.33676147460938,106239800,AAPL,0,,0.0165204279935688,0.8443278687690767,0.0260638309584507,132.8367897033691,-40.15461588812317,1.6520427993568898,3,0,-0.07701569531681096,1,0.00017796407124182068,0,1.2371018778560452,1
