Daily_Return,Relative_Volume,Rolling_Volatility_10D,Moving_Average_10D,Volume_Change_Pct,Price_Change_Pct,Distance_From_Earnings_Event,Row_ID,Date,Ticker,Event_Window,IF_Anomaly,IF_Anomaly_Score
0.2932868961283644,0.2591002280282879,0.038464885301428,-0.5980169659487595,0.18287830822155984,0.27377896076502295,-0.07977568664682241,0,2021-01-19,AAPL,1,0,-0.1303293769353223
-0.8343279328763675,0.26747617668219315,-0.04172022547855451,-0.48745090782860423,0.13359581151558272,-1.0576601826678549,-0.042280694987044495,1,2021-01-20,AAPL,1,0,-0.0552192056854887
-1.0308573355748298,0.13806503191061625,0.014320260240245603,-0.45948612884434337,0.13374205632250896,-1.099192899582026,-0.0585687955484968,2,2021-01-21,AAPL,1,0,-0.0450817847103294
-0.016663559186874028,0.11124643403115093,0.04063400378643433,-0.434226386408053,0.3315863266910481,-0.04515497680238459,-0.2597055473666295,3,2021-01-22,AAPL,1,0,-0.1116870598199459
-0.39759681655902285,-0.740459925540628,0.005273995369631733,-0.35283444799710534,-0.17735409776193634,-0.6133168957117768,-0.4130298765511701,4,2021-01-25,AAPL,1,0,-0.03376864056998
0.3375231111294255,0.306804667233973,0.126712857439505,-0.2878025453911943,-0.6636309871566579,0.2661229067059305,-0.9174883441392316,5,2021-01-26,AAPL,1,0,-0.0947675118879726
0.15247306335118044,-0.3223735160202273,0.11619858720955803,-0.26023773649322335,-0.37901162856112575,0.11380014191467347,-1.0914774627956325,6,2021-01-27,AAPL,0,0,-0.0681676232847203
-1.0399114063949273,-0.20438731573807434,-0.18851725965499994,-0.13276611914474665,0.23483539821524385,-0.8697732366600264,-0.8576104651409441,7,2021-01-28,AAPL,0,0,-0.0207183694385667
-1.0808300297596307,-0.6217134529434021,-0.46137808677797587,-0.17198368942293057,0.01428176547546517,-0.8959062640458393,-0.5022366209388013,8,2021-01-29,AAPL,0,1,0.0035252481111196
-0.025306506338321787,0.23924040567320698,-0.37054785616447367,-0.11798374313768936,-0.7349130874417132,-0.0891028090762784,-0.298227491836333,9,2021-02-01,AAPL,0,0,-0.0770156953168109
0.29698054547103103,-0.18237286162468658,-0.4375292008924747,-0.04519062657234646,0.035330268547844934,0.2684294458477059,-0.13288197199214213,10,2021-02-02,AAPL,0,0,-0.1139083598007284
0.17635711525436035,0.023887281259837665,-0.3211338761300649,-0.05602023347722202,0.195760526706164,0.11781783762402662,-0.09085862115897474,11,2021-02-03,AAPL,0,0,-0.1210250366893026
-0.5196695006955717,-0.1352205543413863,-0.07321060470273895,-0.01288704372104173,0.336972406448032,-0.6483935773686745,-0.01458887471570305,12,2021-02-04,AAPL,0,0,-0.0874599424335214
0.3357298976302974,-0.1966676955567339,-0.0777285080369054,-0.026354243497797223,0.39175842793873084,0.223590306822919,0.14188627816821847,13,2021-02-05,AAPL,0,0,-0.1421633421912387
0.37113266319274196,-0.23741574451484249,0.1153014319452277,-0.15598832009452893,0.4206910012640361,0.3310420266128387,0.19122978889279188,14,2021-02-08,AAPL,0,0,-0.1488391261765434
0.22691968134058924,0.02022221768957776,0.08091021285462267,-0.2113556379546446,0.23678013565871026,0.18212602034203773,0.25596136561231503,15,2021-02-09,AAPL,0,0,-0.1421453816604942
0.2794113569833757,-0.0651074419659376,0.10652797339955848,-0.21033234647381324,0.40365097971643144,0.20485095006727566,0.33450328876852325,16,2021-02-10,AAPL,0,0,-0.1493144580460255
0.34688603400453594,-0.1972958839948413,0.2479590142779948,-0.2494385888227413,0.3428305374611936,0.2658205854900758,0.28268858825765625,17,2021-02-11,AAPL,0,0,-0.1489330172649421
0.37329673907853045,-0.1478690777745935,0.17964899207590063,-0.2784267645851111,0.41463383192871384,0.33563346915316244,0.32705447232332796,18,2021-02-12,AAPL,0,0,-0.1533755071470237
-0.2397085133017666,0.29558174021623324,0.13286637773909002,-0.31004464931927633,-0.34555548497546973,-0.07740932948888762,0.2603378672810287,19,2021-02-16,AAPL,0,0,-0.1113412829912807
-0.3044418511717281,-0.1832064669108383,0.1691706214921475,-0.3110097823454488,0.028922908108450347,-0.13715134220897776,0.30002641419823856,20,2021-02-17,AAPL,0,0,-0.1067513934069693
0.16607181764761472,-0.21600327311377673,0.19864493880481573,-0.35231066489366814,0.36905375306842825,0.11958862295585224,0.2661554720841892,21,2021-02-18,AAPL,0,0,-0.1354541321774794
0.3378488638967486,0.14116114191716253,-0.2028255650822734,-0.35998789578243323,0.36377384138943053,0.3109524932699744,0.2690793503342408,22,2021-02-19,AAPL,0,0,-0.1440307514096105
-0.7738055716642293,-0.25864836679855596,0.08626854641430781,-0.40203545208903113,0.12648026483397531,-0.59154222638177,0.2801835786000416,23,2021-02-22,AAPL,0,0,-0.0726326868672342
0.2464437645041422,-1.9655385477334422,0.12551193163986973,-0.4497996528265873,-0.64043888712767,0.22772342912421195,0.21247759950501313,24,2021-02-23,AAPL,0,0,-0.0491110294150872
0.2661104015537588,-0.22339173378056784,0.13036608017549553,-0.5847393452418472,-0.2995583290286442,0.19394351778328664,0.3458682158592397,25,2021-02-24,AAPL,0,0,-0.1146703621807535
-0.9624891320249991,-0.8594123068541637,0.17884125477111074,-0.4806409273758461,-0.15876868609099593,-0.8155966656625191,0.30206438575466615,26,2021-02-25,AAPL,0,0,-0.0300270871530285
0.31478289732931425,-1.2033016999109172,0.23234079146567957,-0.674530747119348,0.2275168776006964,0.2995166425404781,0.25577873159178066,27,2021-02-26,AAPL,0,0,-0.1034320490917842
-1.6819438457844116,0.17406406821041548,-0.21738448856690717,-0.5598113940397765,-0.15310612003804255,-1.876925927703486,0.13872146819527184,28,2021-03-01,AAPL,0,1,0.0209009920362732
-0.39914294849089393,0.2977207053884335,-0.2879103025664492,-0.5835317952288964,0.25845381265891854,-0.27802069821059866,0.13115604029862518,29,2021-03-02,AAPL,0,0,-0.0938569574100562
-0.4946176909502614,0.28241917744179823,-0.3440395208971314,-0.5897440296656246,0.22944926446576555,-0.49444210027891883,0.0957678813896836,30,2021-03-03,AAPL,0,0,-0.0796223234057816
-0.17814706841640968,-0.5636758564036564,-0.3785821206971012,-0.7564070162989853,-0.6295876413650193,-0.10734935189998494,0.049778154328078146,31,2021-03-04,AAPL,0,0,-0.0381303678052135
0.05973868367935266,-0.09447296960579585,-0.4091834537416864,-0.8693143264897042,0.20752167702509666,0.16294795548021412,-0.016242750112363973,32,2021-03-05,AAPL,0,0,-0.0908291098914337
-1.2975934771238349,0.1043486196356353,-0.5573760027559072,-0.8115526784853393,0.2395190021557201,-1.3591022809330657,-0.05410094478728091,33,2021-03-08,AAPL,0,1,0.0041284914870002
-1.1047074696895258,0.24247790272300626,-0.9977559426393775,-0.9101160281471863,0.18785986075072383,-1.0803541225930293,-0.11788785145474813,34,2021-03-09,AAPL,0,1,0.0058048937532562
0.10259076930558422,0.20099762210112224,-1.2706619126674668,-1.0253762184951876,0.2623399653308417,0.06665947990792788,-0.21510144814758206,35,2021-03-10,AAPL,0,0,-0.061337750198265
0.02889511495464158,0.09729671858698202,-1.0457497154162985,-1.021640174760299,0.33496698718531803,-0.05808284719937219,-0.4516356054152734,36,2021-03-11,AAPL,0,0,-0.0534213079926668
0.1281434884064534,-0.2014523353141617,-1.1642034410385798,-1.0229218108602292,0.25251264809603,0.11831579058737318,-0.6312278931872719,37,2021-03-12,AAPL,0,0,-0.0396228904347306
-0.41406225509102274,0.07528820424600657,-0.313872720555883,-1.0234744714905266,0.22495978896331226,-0.46197624646296176,-0.6368115324883945,38,2021-03-15,AAPL,0,0,-0.0386159858213953
0.07541318816443228,0.27664960455946513,-0.33603007818718245,-1.0801481110715487,-0.21078885194739103,0.07033866489300812,-0.4831407904575468,39,2021-03-16,AAPL,0,0,-0.0676102646093286
0.2530535509537006,0.3002109477945481,-0.17212037251249257,-1.1024122526124915,0.35725082501064526,0.1784848397455637,-0.28143399763312177,40,2021-03-17,AAPL,0,0,-0.1058720082540806
-0.8439383658050553,0.240922332448417,-0.41037942439736613,-0.8530814797084665,0.22842508995671584,-0.8453647917413925,-0.165046266225265,41,2021-03-18,AAPL,0,0,-0.0351943501972404
0.23441412049898627,-0.8225822142290659,-0.41643852263488595,-1.0258679645296627,-0.5944839183889346,0.18274487511786214,-0.06225763102544448,42,2021-03-19,AAPL,0,0,-0.0401878761863241
-0.5902184650706195,0.26051030223626315,-0.05519745371575673,-0.986504096023408,-0.49811454716520737,-0.7372098395187558,-0.00494471928865491,43,2021-03-22,AAPL,0,0,-0.0364746257759627
0.20153356557398835,0.2320248924320174,0.11385590631664587,-1.0583177442108007,0.2609728412472243,0.12897472356753645,-0.003817511698480207,44,2021-03-23,AAPL,0,0,-0.1160423777888175
-0.37747396673788697,0.10142671114890177,0.07115126484202848,-0.9682938651081137,0.319125356864356,-0.2988455856383862,0.06740850996553488,45,2021-03-24,AAPL,0,0,-0.0868801830347631
0.2959976474339593,0.29195088104554057,0.06129165146432545,-1.1153627326386535,0.18576989275747996,0.29791385782727803,0.11659630035018839,46,2021-03-25,AAPL,0,0,-0.1235831080963437
0.30297590099047694,0.291290603191928,0.07291458937694016,-1.149532921397477,0.3824265072120311,0.3179302264655833,0.184901027501133,47,2021-03-26,AAPL,0,0,-0.1312712859883207
0.35328649208474694,0.10203734933508413,0.19876371213950508,-1.1229954399592252,0.27696001843641244,0.3332655252934597,0.2311431045433534,48,2021-03-29,AAPL,0,0,-0.1304073354618014
-0.0172914320215373,0.14542697425103115,0.23565674552440077,-1.1577051478121811,0.26493041949096696,-0.05748146540931558,0.2737010441379643,49,2021-03-30,AAPL,0,0,-0.110484272063288
-0.08031587348080214,0.22282187985024898,0.12792833627264893,-1.137694159531139,-0.356121080228006,-0.10545118606995227,0.2818913877623798,50,2021-03-31,AAPL,0,0,-0.0880875481372177
0.2741166841362471,-0.10983279998594467,0.24571276082086171,-1.166111047449563,-0.5641326113917279,0.284206503608409,0.30010059942559186,51,2021-04-01,AAPL,0,0,-0.0977108773839278
