Feature,Mean_Absolute_SHAP_Value,Mean_SHAP_Value,Importance_Rank
Relative_Volume,0.3582531658279144,-0.019841469289402523,1
Moving_Average_10D,0.3539007543877157,-0.02128355483037711,2
Volume_Change_Pct,0.34356153364227837,-0.0060444082201772985,3
Rolling_Volatility_10D,0.31912248506684016,-0.011563759669353333,4
Daily_Return,0.3172499205969599,-0.008232231830960038,5
Price_Change_Pct,0.296431055935516,-0.01815029546247034,6
Distance_From_Earnings_Event,0.2826779140011016,-0.021266613802948295,7
