Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Event_Window,Event_Earnings_Date,Daily_Return,Relative_Volume,Rolling_Volatility_10D,Moving_Average_10D,Volume_Change_Pct,Price_Change_Pct,Distance_From_Earnings_Event
2021-01-19,127.77999877929688,128.7100067138672,126.94000244140624,127.83000183105467,124.20565032958984,90757300,AAPL,1,2021-01-27,0.005427122159717523,0.8299070606288187,0.020457584209858517,125.64658966064454,-18.675161404499164,0.5427122159717523,6
2021-01-20,128.66000366210938,132.49000549316406,128.5500030517578,132.02999877929688,128.28656005859375,104319500,AAPL,1,2021-01-27,0.03285607150862213,1.0020707191361555,0.02283725497852404,125.74569778442383,14.943370946469315,3.285607150862213,5
2021-01-21,133.8000030517578,139.6699981689453,133.58999633789062,136.8699951171875,132.98931884765625,120150900,AAPL,1,2021-01-27,0.03665823440050575,1.1468130147555502,0.02177675235192269,126.74357833862305,15.17587795186901,3.665823440050575,4
2021-01-22,136.27999877929688,139.85000610351562,135.02000427246094,139.07000732421875,135.12698364257812,114459400,AAPL,1,2021-01-27,0.01607395852121507,1.1301765636132979,0.020054790505455646,127.53547439575195,-4.736959939542695,1.607395852121507,3
2021-01-25,143.07000732421875,145.08999633789062,136.5399932861328,142.9199981689453,138.8677978515625,157611700,AAPL,1,2021-01-27,0.027683695055897406,1.548799278328836,0.021180901491848963,128.59165725708007,37.70096645622816,2.7683695055897406,2
2021-01-26,143.60000610351562,144.3000030517578,141.3699951171875,143.16000366210938,139.10098266601562,98390600,AAPL,1,2021-01-27,0.001679185657587734,0.9194596910638015,0.018354251399566434,129.96945343017578,-37.57405065740678,0.1679185657587734,1
2021-01-27,143.42999267578125,144.3000030517578,140.41000366210938,142.05999755859375,138.0322265625,140843800,AAPL,0,,-0.007683310951740241,1.3186416672034467,0.01891145228800087,131.25786056518555,43.14761776023319,-0.7683310951740241,0
2021-01-28,139.52000427246094,141.99000549316406,136.6999969482422,137.08999633789062,133.2030792236328,142621100,AAPL,0,,-0.034985651243411464,1.2768338274737032,0.02343338975314423,131.86028213500975,1.2618943822873208,-3.4985651243411464,1
2021-01-29,135.8300018310547,136.74000549316406,130.2100067138672,131.9600067138672,128.21853637695312,177523800,AAPL,0,,-0.03742062777926636,1.5160345920398273,0.026419064057943392,132.15663452148436,24.47232562362791,-3.7420627779266358,2
2021-02-01,133.75,135.3800048828125,130.92999267578125,134.13999938964844,130.33676147460938,106239800,AAPL,0,,0.016520427993568898,0.8443278687690767,0.026063830958450714,132.83678970336913,-40.15461588812317,1.6520427993568898,3
2021-02-02,135.72999572753906,136.30999755859375,134.61000061035156,134.99000549316406,131.1626434326172,83305400,AAPL,0,,0.006336523546111694,0.6648911313343037,0.02606443357202378,133.53248901367186,-21.58739003650233,0.6336523546111694,4
2021-02-03,135.75999450683594,135.77000427246094,133.61000061035156,133.94000244140625,130.1423797607422,89880900,AAPL,0,,-0.007778614742536383,0.7216648226446969,0.02449293457926166,133.71807098388672,7.893245815997529,-0.7778614742536383,5
2021-02-04,136.3000030517578,137.39999389648438,134.58999633789062,137.38999938964844,133.49459838867188,84183100,AAPL,0,,0.02575808613683339,0.683844242622057,0.022959261899598772,133.7685989379883,-6.339277866599025,2.575808613683339,6
2021-02-05,137.35000610351562,137.4199981689453,135.86000061035156,136.75999450683594,133.0810089111328,75693800,AAPL,0,,-0.003098173877679189,0.633389330540502,0.02231673430892355,133.56400146484376,-10.08432808960469,-0.3098173877679189,7
2021-02-08,136.02999877929688,136.9600067138672,134.9199981689453,136.91000366210938,133.2269744873047,71297200,AAPL,0,,0.0010968174750565218,0.6166009682658563,0.01993710940356291,132.99991912841796,-5.808401744924952,0.10968174750565218,8
