Ticker,Earnings_Date,Source
AAPL,2021-01-27,Investing.com
AAPL,2021-04-28,Investing.com
AAPL,2021-07-27,Investing.com
AAPL,2021-10-28,Investing.com
AAPL,2022-01-27,Investing.com
AAPL,2022-04-28,Investing.com
AAPL,2022-07-28,Investing.com
AAPL,2022-10-27,Investing.com
AAPL,2023-02-02,Investing.com
AAPL,2023-05-04,Investing.com
AAPL,2023-08-03,Investing.com
AAPL,2023-11-02,Investing.com
AAPL,2024-02-01,Investing.com
AAPL,2024-05-02,Investing.com
AAPL,2024-08-01,Investing.com
AAPL,2024-10-31,Investing.com
AAPL,2025-01-30,Investing.com
AAPL,2025-05-01,Investing.com
AAPL,2025-07-31,Investing.com
AAPL,2025-10-30,Investing.com
AMZN,2021-02-02,Investing.com
AMZN,2021-04-29,Investing.com
AMZN,2021-07-29,Investing.com
AMZN,2021-10-28,Investing.com
AMZN,2022-02-03,Investing.com
AMZN,2022-04-28,Investing.com
AMZN,2022-07-28,Investing.com
AMZN,2022-10-27,Investing.com
AMZN,2023-02-02,Investing.com
AMZN,2023-04-27,Investing.com
AMZN,2023-08-03,Investing.com
AMZN,2023-10-26,Investing.com
AMZN,2024-02-01,Investing.com
AMZN,2024-04-30,Investing.com
AMZN,2024-08-01,Investing.com
AMZN,2024-10-31,Investing.com
AMZN,2025-02-06,Investing.com
AMZN,2025-05-01,Investing.com
AMZN,2025-07-31,Investing.com
AMZN,2025-10-30,Investing.com
MSFT,2021-01-26,Investing.com
MSFT,2021-04-27,Investing.com
MSFT,2021-07-27,Investing.com
MSFT,2021-10-26,Investing.com
MSFT,2022-01-25,Investing.com
MSFT,2022-04-26,Investing.com
MSFT,2022-07-26,Investing.com
MSFT,2022-10-25,Investing.com
MSFT,2023-01-24,Investing.com
MSFT,2023-04-25,Investing.com
MSFT,2023-07-25,Investing.com
MSFT,2023-10-24,Investing.com
MSFT,2024-01-30,Investing.com
MSFT,2024-04-25,Investing.com
MSFT,2024-07-30,Investing.com
MSFT,2024-10-30,Investing.com
MSFT,2025-01-29,Investing.com
MSFT,2025-04-30,Investing.com
MSFT,2025-07-30,Investing.com
MSFT,2025-10-29,Investing.com
NVDA,2021-02-24,Investing.com
NVDA,2021-05-26,Investing.com
NVDA,2021-08-18,Investing.com
NVDA,2021-11-17,Investing.com
NVDA,2022-02-16,Investing.com
NVDA,2022-05-25,Investing.com
NVDA,2022-08-24,Investing.com
NVDA,2022-11-16,Investing.com
NVDA,2023-02-22,Investing.com
NVDA,2023-05-24,Investing.com
NVDA,2023-08-23,Investing.com
NVDA,2023-11-21,Investing.com
NVDA,2024-02-21,Investing.com
NVDA,2024-05-22,Investing.com
NVDA,2024-08-28,Investing.com
NVDA,2024-11-20,Investing.com
NVDA,2025-02-26,Investing.com
NVDA,2025-05-28,Investing.com
NVDA,2025-08-27,Investing.com
NVDA,2025-11-19,Investing.com
TSLA,2021-01-27,Investing.com
TSLA,2021-04-26,Investing.com
TSLA,2021-07-26,Investing.com
TSLA,2021-10-20,Investing.com
TSLA,2022-01-26,Investing.com
TSLA,2022-04-20,Investing.com
TSLA,2022-07-20,Investing.com
TSLA,2022-10-19,Investing.com
TSLA,2023-01-25,Investing.com
TSLA,2023-04-19,Investing.com
TSLA,2023-07-19,Investing.com
TSLA,2023-10-18,Investing.com
TSLA,2024-01-24,Investing.com
TSLA,2024-04-23,Investing.com
TSLA,2024-07-23,Investing.com
TSLA,2024-10-23,Investing.com
TSLA,2025-01-29,Investing.com
TSLA,2025-04-22,Investing.com
TSLA,2025-07-23,Investing.com
TSLA,2025-10-22,Investing.com
