Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Event_Window,Event_Earnings_Date
2021-01-04,133.52000427246094,133.61000061035156,126.76000213623048,129.41000366210938,125.74081420898438,143301900,AAPL,0,
2021-01-05,128.88999938964844,131.74000549316406,128.42999267578125,131.00999450683594,127.29547882080078,97664900,AAPL,0,
2021-01-06,127.72000122070312,131.0500030517578,126.37999725341795,126.5999984741211,123.01051330566406,155088000,AAPL,0,
2021-01-07,128.36000061035156,131.6300048828125,127.86000061035156,130.9199981689453,127.20802307128906,109578200,AAPL,0,
2021-01-08,132.42999267578125,132.6300048828125,130.22999572753906,132.0500030517578,128.30596923828125,105158200,AAPL,0,
2021-01-11,129.19000244140625,130.1699981689453,128.5,128.97999572753906,125.3230209350586,100384500,AAPL,0,
2021-01-12,128.5,129.69000244140625,126.86000061035156,128.8000030517578,125.14815521240234,91951100,AAPL,1,2021-01-27
2021-01-13,128.75999450683594,131.4499969482422,128.49000549316406,130.88999938964844,127.17886352539062,88636800,AAPL,1,2021-01-27
2021-01-14,130.8000030517578,131.0,128.75999450683594,128.91000366210938,125.25501251220705,90221800,AAPL,1,2021-01-27
2021-01-15,128.77999877929688,130.22000122070312,127.0,127.13999938964844,123.53520965576172,111598500,AAPL,1,2021-01-27
2021-01-19,127.77999877929688,128.7100067138672,126.94000244140624,127.83000183105467,124.20565032958984,90757300,AAPL,1,2021-01-27
2021-01-20,128.66000366210938,132.49000549316406,128.5500030517578,132.02999877929688,128.28656005859375,104319500,AAPL,1,2021-01-27
2021-01-21,133.8000030517578,139.6699981689453,133.58999633789062,136.8699951171875,132.98931884765625,120150900,AAPL,1,2021-01-27
2021-01-22,136.27999877929688,139.85000610351562,135.02000427246094,139.07000732421875,135.12698364257812,114459400,AAPL,1,2021-01-27
2021-01-25,143.07000732421875,145.08999633789062,136.5399932861328,142.9199981689453,138.8677978515625,157611700,AAPL,1,2021-01-27
2021-01-26,143.60000610351562,144.3000030517578,141.3699951171875,143.16000366210938,139.10098266601562,98390600,AAPL,1,2021-01-27
2021-01-27,143.42999267578125,144.3000030517578,140.41000366210938,142.05999755859375,138.0322265625,140843800,AAPL,0,
2021-01-28,139.52000427246094,141.99000549316406,136.6999969482422,137.08999633789062,133.2030792236328,142621100,AAPL,0,
2021-01-29,135.8300018310547,136.74000549316406,130.2100067138672,131.9600067138672,128.21853637695312,177523800,AAPL,0,
2021-02-01,133.75,135.3800048828125,130.92999267578125,134.13999938964844,130.33676147460938,106239800,AAPL,0,
2021-02-02,135.72999572753906,136.30999755859375,134.61000061035156,134.99000549316406,131.1626434326172,83305400,AAPL,0,
2021-02-03,135.75999450683594,135.77000427246094,133.61000061035156,133.94000244140625,130.1423797607422,89880900,AAPL,0,
2021-02-04,136.3000030517578,137.39999389648438,134.58999633789062,137.38999938964844,133.49459838867188,84183100,AAPL,0,
2021-02-05,137.35000610351562,137.4199981689453,135.86000061035156,136.75999450683594,133.0810089111328,75693800,AAPL,0,
2021-02-08,136.02999877929688,136.9600067138672,134.9199981689453,136.91000366210938,133.2269744873047,71297200,AAPL,0,
2021-02-09,136.6199951171875,137.8800048828125,135.85000610351562,136.00999450683594,132.3511962890625,76774200,AAPL,0,
2021-02-10,136.47999572753906,136.99000549316406,134.39999389648438,135.38999938964844,131.74786376953125,73046600,AAPL,0,
2021-02-11,135.89999389648438,136.38999938964844,133.77000427246094,135.1300048828125,131.49488830566406,64280000,AAPL,0,
2021-02-12,134.35000610351562,135.52999877929688,133.69000244140625,135.3699951171875,131.72842407226562,60145100,AAPL,0,
2021-02-16,135.49000549316406,136.00999450683594,132.7899932861328,133.19000244140625,129.6071014404297,80576300,AAPL,0,
2021-02-17,131.25,132.22000122070312,129.47000122070312,130.83999633789062,127.32028198242188,97918500,AAPL,0,
2021-02-18,129.1999969482422,130.0,127.41000366210938,129.7100067138672,126.2206802368164,96856700,AAPL,0,
2021-02-19,130.24000549316406,130.7100067138672,128.8000030517578,129.8699951171875,126.37637329101562,87668800,AAPL,0,
2021-02-22,128.00999450683594,129.72000122070312,125.5999984741211,126.0,122.6104736328125,103916400,AAPL,0,
2021-02-23,123.76000213623048,126.70999908447266,118.38999938964844,125.86000061035156,122.47425842285156,158273000,AAPL,0,
2021-02-24,124.94000244140624,125.55999755859376,122.2300033569336,125.3499984741211,121.97797393798828,111039900,AAPL,0,
2021-02-25,124.68000030517578,126.45999908447266,120.54000091552734,120.98999786376952,117.7352523803711,148199500,AAPL,0,
2021-02-26,122.58999633789062,124.8499984741211,121.1999969482422,121.26000213623048,117.99798583984376,164560400,AAPL,0,
2021-03-01,123.75,127.93000030517578,122.79000091552734,127.79000091552734,124.35232543945312,116307900,AAPL,0,
2021-03-02,128.41000366210938,128.72000122070312,125.01000213623048,125.12000274658205,121.754150390625,102260900,AAPL,0,
2021-03-03,124.80999755859376,125.70999908447266,121.83999633789062,122.05999755859376,118.77645874023438,112966300,AAPL,0,
2021-03-04,121.75,123.5999984741211,118.62000274658205,120.12999725341795,116.8983917236328,178155000,AAPL,0,
2021-03-05,120.9800033569336,121.94000244140624,117.56999969482422,121.41999816894533,118.15367889404295,153766600,AAPL,0,
2021-03-08,120.93000030517578,121.0,116.20999908447266,116.36000061035156,113.22979736328124,154376600,AAPL,0,
2021-03-09,119.02999877929688,122.05999755859376,118.79000091552734,121.08999633789062,117.83257293701172,129525800,AAPL,0,
2021-03-10,121.69000244140624,122.16999816894533,119.4499969482422,119.9800033569336,116.75243377685548,111943300,AAPL,0,
2021-03-11,122.54000091552734,123.20999908447266,121.26000213623048,121.95999908447266,118.6791534423828,103026500,AAPL,0,
2021-03-12,120.4000015258789,121.16999816894533,119.16000366210938,121.02999877929688,117.77418518066406,88105100,AAPL,0,
2021-03-15,121.41000366210938,124.0,120.41999816894533,123.98999786376952,120.65454864501952,92403800,AAPL,0,
2021-03-16,125.6999969482422,127.22000122070312,124.72000122070312,125.56999969482422,122.1920394897461,115227900,AAPL,0,
2021-03-17,124.0500030517578,125.86000061035156,122.33999633789062,124.76000213623048,121.40382385253906,111932600,AAPL,0,
2021-03-18,122.87999725341795,123.18000030517578,120.31999969482422,120.52999877929688,117.28763580322266,121229700,AAPL,0,
2021-03-19,119.9000015258789,121.43000030517578,119.68000030517578,119.98999786376952,116.7621612548828,185549500,AAPL,0,
2021-03-22,120.33000183105467,123.87000274658205,120.26000213623048,123.38999938964844,120.0706787109375,111912300,AAPL,0,
2021-03-23,123.33000183105467,124.23999786376952,122.13999938964844,122.54000091552734,119.2435531616211,95467100,AAPL,0,
